headline	positive	negative	neutral	url	publisher	ts	symbol
Agilent Technologies Announces Pricing of $5…… Million of Senior Notes	0.11081353574991226	0.012814123183488846	0.8763723373413086	http://www.gurufocus.com/news/1153187/agilent-technologies-announces-pricing-of-500-million-of-senior-notes	GuruFocus	2020-06-01 00:00:00	A
Agilent (A) Gears Up for Q2 Earnings: What's in the Cards?	0.06873071938753128	0.01878718100488186	0.9124821424484253	http://www.zacks.com/stock/news/931205/agilent-a-gears-up-for-q2-earnings-whats-in-the-cards?cid=CS-BENZ-FT-analyst_blog|earnings_preview-931205	Zacks	2020-05-18 00:00:00	A
Pershing Square Capital Management, L.P. Buys Agilent Technologies Inc, The Howard Hughes Corp, ...	0.09321287274360657	0.01166633889079094	0.8951207399368286	http://www.gurufocus.com/news/1138704/pershing-square-capital-management-lp-buys-agilent-technologies-inc-the-howard-hughes-corp-lowes-inc-sells-chipotle-mexican-grill-inc	GuruFocus	2020-05-15 00:00:00	A
J.P. Morgan Asset Management Announces Liquidation of Six Exchange-Traded Funds	0.014791056513786316	0.8488040566444397	0.1364048570394516	http://www.gurufocus.com/news/1138923/jp-morgan-asset-management-announces-liquidation-of-six-exchangetraded-funds	GuruFocus	2020-05-15 00:00:00	A
Agilent Awards Trilogy Sciences with a Golden Ticket at LabCentral	0.6270513534545898	0.011495419777929783	0.3614532947540283	http://www.gurufocus.com/news/1134012/agilent-awards-trilogy-sciences-with-a-golden-ticket-at-labcentral	GuruFocus	2020-05-12 00:00:00	A
Agilent Technologies Inc (A) CEO and President Michael R. Mcmullen Sold $–.4 million of Shares	0.02821197733283043	0.02243412844836712	0.9493539333343506	http://www.gurufocus.com/news/1132985/agilent-technologies-inc-a-ceo-and-president-michael-r-mcmullen-sold-14-million-of-shares	GuruFocus	2020-05-11 00:00:00	A
Cypress Asset Management Inc Buys Verizon Communications Inc, United Parcel Service Inc, ...	0.09577818214893341	0.015466146171092987	0.888755738735199	http://www.gurufocus.com/news/1128926/cypress-asset-management-inc-buys-verizon-communications-inc-united-parcel-service-inc-powershares-qqq-trust-ser-1-sells-the-walt-disney-co-honeywell-international-inc-eaton-corp-plc	GuruFocus	2020-05-07 00:00:00	A
' Stocks Growing Their Earnings Fast	0.8816669583320618	0.06746276468038559	0.050870198756456375	http://www.gurufocus.com/news/1129235/3-stocks-growing-their-earnings-fast	GuruFocus	2020-05-07 00:00:00	A
Teacher Retirement System Of Texas Buys Hologic Inc, Vanguard Total Stock Market, Agilent ...	0.1773384064435959	0.009039844386279583	0.8136217594146729	http://www.gurufocus.com/news/1126799/teacher-retirement-system-of-texas-buys-hologic-inc-vanguard-total-stock-market-agilent-technologies-inc-sells-alphabet-inc-att-inc-ishares-edge-msci-min-vol-emerging-markets	GuruFocus	2020-05-05 00:00:00	A
Hendley & Co Inc Buys American Electric Power Co Inc, Agilent Technologies Inc, Paychex ...	0.07017895579338074	0.016018953174352646	0.9138020873069763	http://www.gurufocus.com/news/1126951/hendley--co-inc-buys-american-electric-power-co-inc-agilent-technologies-inc-paychex-inc-sells-honeywell-international-inc-texas-instruments-inc-dollar-general-corp	GuruFocus	2020-05-05 00:00:00	A
